file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2012-P-D-B07-5-R-03_0093_820068_to_829009,བསྟན་འཛིན་དེ་དག་འདི་དེ་ག་རེ་ཡོད་རེད། ཁོ་སྤོ་སྤོ་དང་རྨོ་རྨོ་ཆགས་རེད་ད་རེད། ཁོ་ཀ་ཅི་ཁྱོ་ག ཁྱོ་ག་དང་སྐྱེད་དམན། ཨ་ནས་ཁོ་ཚོ།  ,bstan 'dzin de dag 'di de ga re yod red/_kho spo spo dang rmo rmo chags red da red/_kho ka ci khyo ga_khyo ga dang skyed dman/_a nas kho tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0093_820068_to_829009.wav,STT_CS,3,121,8.941,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0093_820068_to_829009.wav,བསྟན་འཛིན་དེ་དང་དི་དེ་ག་རེ་ལབ་གོ་རེད། ོསྤོ་སྤོ་དང་རྨོ་རྨོ་ཆགས་རེད་ད་རཱ། ཁོ་ཀ་ཅི་ོསེ་།ཨནཁོ་ཚོ་
STT_CS-D-2012-P-D-B07-5-R-03_0094_830292_to_838341,ཨ་ནས་ཁོང་ཚོ་ཡོད་བ། ཁོ་ཡོད་བ། ཁོ་ཀ་ཅི་རྨོ་རྨོ་དེ་ཡོད་བ། གཅིག་བཏུང་སྙིང་བྲོ་རེད་ད་རཱ། ཞིམ་པོ་གཅིག་བཏུང་སྙིང་བྲོ་སོང་ང་། ཕར་ལ་གཅིག་ཡོད་རེད་ད་རེད་བ།  ,a nas khong tsho yod ba/_kho yod ba/_kho ka ci rmo rmo de yod ba/_gcig btung snying bro red da rA/_zhim po gcig btung snying bro song nga /_phar la gcig yod red da red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0094_830292_to_838341.wav,STT_CS,3,146,8.049,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0094_830292_to_838341.wav,ཨེ་ནས་ཁོ་ཚོ་ཡོད་བ། ཁོ་ཡོད་བ། ཁོ་ཀ་ཅི་རྨོ་རྨོ་དེ་ཡོད་བ། གཅིག་བཏུང་སྙིང་བྲོ་རེད་ད་རཱ། ཞིམ་པོ་དེ་བཏུང་སྙིང་བྲོ་སོང་། ཨེ་ནས་ཕར་ལ་གཅིག་ཡོད་རེད་ད་རཱ།
STT_CS-D-2012-P-D-B07-5-R-03_0095_844905_to_848179,ཨ་ནས་ཡོད་བ། ཨ་ནས་ཕར་ལ་གཅིག་བཏུང་སྙིང་བྲོ་རེད་ད་རཱ།  ,a nas yod ba/_a nas phar la gcig btung snying bro red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0095_844905_to_848179.wav,STT_CS,3,52,3.274,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0095_844905_to_848179.wav,ཨེ་ནས་ཡོད་བ། ཨེ་ནས་ཕར་ལ་གཅིག་བཏུང་སྙིང་བྲོ་རེད་ད་རཱ། ཨེ་ནས།
STT_CS-D-2012-P-D-B07-5-R-03_0096_848719_to_858629,ཁོས་ཡོད་བ། གཅིག་རྒྱུགས་རེད་ད་རཱ། ཨ་ནས་ཕར་ལ་ག་རེ་རག་གི་རེད་ལབ་དགོས་པས། ཤོག་སྒམ་གཅིག་མ་གཏོགས་རག་ཡོད་མ་རེད་ད། ཨ་ནས་ཁོས་བསམས་བློ་བཏང་རེད་ད། ཤོག་སྒམ་ག་རེ་བྱས་ནས་རག་ཡིན་ནམ་ལབ་རེད་ད། ཨ་ནས་ད་བཞག་ཤོག་ལབ་རེད། ངའི་པད་ཤག་འཕྲོ་བརླག་ལབ་ནས་ ,khos yod ba/_gcig rgyugs red da rA/_a nas phar la ga re rag gi red lab dgos pas/_shog sgam gcig ma gtogs rag yod ma red da/_a nas khos bsams blo btang red da/_shog sgam ga re byas nas rag yin nam lab red da/_a nas da bzhag shog lab red/_nga'i pad shag 'phro brlag lab nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0096_848719_to_858629.wav,STT_CS,3,226,9.91,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0096_848719_to_858629.wav,ཁོས་ཡོད་བ་གཅིག་རྒྱུག་རེད་ད་རཱ། ཨེ་ནས་ཕར་ལ་ག་རེ་རག་རེད་ལབ་དགོས་བས། ཤོག་སྒམ་གཅིག་མེ་གཏོགས་རག་ཡོད་མ་རེད་ད། ཨེ་ནས་ཁོས་བསམ་བློ་བཏང་རེད་ད། ཤོག་སྒམ་ག་རེ་བྱས་ནས་རག་ཡོད་ན་ལབ་རེད་ད། ཨེ་ནས་ད་བཞག་ཤོག་ལབ་ནས། ངའི་པད་ཤག་འཕྲོ་བརླག་ལབ་ནས་ཁོ
STT_CS-D-2012-P-D-B07-5-R-03_0097_858629_to_868539,ཁོ་ཁོང་ཁྲོ་ཟ་ནས་འགྲོ་རེད་ད། ཨ་ནས་ག་རེ་ལབ་དགོས་རེད། ཁོས་ཐཱ་ལི་འདྲ་པོ་གཅིག་ཁྱེར་རེད་ད། ཨ་ནས་བཀྲུས་རེད་ད། བཀྲུས། བཀྲུས། བཀྲུས། བཀྲུས། ཨ་ནས་མི་མང་ཆེ་བས་རོགས་པ་བྱས་ནས་ཡོད་བ།  ,kho khong khro za nas 'gro red da/_a nas ga re lab dgos red/_khos thA li 'dra po gcig khyer red da/_a nas bkrus red da/_bkrus/_bkrus/_bkrus/_bkrus/_a nas mi mang che bas rogs pa byas nas yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0097_858629_to_868539.wav,STT_CS,3,170,9.91,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0097_858629_to_868539.wav,ཁོང་ཁྲོ་ཟ་ནས་འགྲོ་རེད་ད། ཨེ་ནས་ག་རེ་ལབ་དགོས་རེད། ཁོཡིས་ཡོད་བ།་ཐ་ལིང་འདྲ་བོ་ཅིག་བྱས་རེད་ད། ཨ་ནས་ཀྲུས་རེད་ད། བཀྲུས་བཀྲུས་བཀྲི་ཀ་ྲུས། ཨ་ནས་མི་མང་ཆེ་བ་ཅི་རོགས་པ་བྱས་ནས་ཡོད་བ། ོགས
STT_CS-D-2012-P-D-B07-5-R-03_0098_868539_to_878449,རོགས་པ་བྱེད་རོགས། རོགས་པ་བྱེད་རོགས། ཨ་ནས་ཡང་ཉིན་མ་གཅིག་ཡང་ཁོ་ཡོད་བ། ཉིན་མ་གཅིག་རོགས་པ་བྱས་ནས་པད་ཤག་རག་རེད་ད། ཨ་ནས་པད་ཤག་དེ་ག་རེ་བྱས་རེད་ལབ་དགོས་པས། བསྟན་འཛིན་གྱིས་པད་ཤག་དེས་ཀཱ་ཊེ་འདྲ་པོ་བྲིས་ ,rogs pa byed rogs/_rogs pa byed rogs/_a nas yang nyin ma gcig yang kho yod ba/_nyin ma gcig rogs pa byas nas pad shag rag red da/_a nas pad shag de ga re byas red lab dgos pas/_bstan 'dzin gyis pad shag des kA Te 'dra po bris _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0098_868539_to_878449.wav,STT_CS,3,192,9.91,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0098_868539_to_878449.wav,རོགས་པ་བྱས། རོགས་པ་བྱས།རོ། ཨེ་ནས་ཡོདཉི་མ་གཅིག་ཡང་ཁོ་ཡོད་བ། ཉི་མ་གཅིག་རོགས་པ་བྱས་ནས་པད་ཤག་རག་རེད་ད། ཨནསཔད་ཤག་དེ་ག་རེ་བྱས་རེད་ལབ་དགོས་བེ། བསྟན་འཛིན་གྱིས་པད་ཤག་དེ་ཁཱཋྀ་འདྲ་བོ་བྲིས།།
STT_CS-D-2012-P-D-B07-5-R-03_0109_977222_to_986755,གཅིག གཅིག་ཀྱང་ལྷག་ཡོད་མ་རེད་ད། ཕ་གིར་ཡོད་རེད་ད། ཨ་ནས་ཁོང་ཚོ་ཡོད་བ། ཤེལ་ཏོག་ཨེ་འདྲའི་འདྲ་པོ་དང་། ཨེ་འདྲའི་འདྲ་པོ་བཙོང་གི་ཡོད་རེད་ད། ཨ་ནས། ཁོང་ཚོ་བཙོང་བཙོང་ ,gcig_gcig kyang lhag yod ma red da/_pha gir yod red da/_a nas khong tsho yod ba/_shel tog e 'dra'i 'dra po dang /_e 'dra'i 'dra po btsong gi yod red da/_a nas/_khong tsho btsong btsong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0109_977222_to_986755.wav,STT_CS,3,155,9.533,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0109_977222_to_986755.wav,གཅིག་གཅིག་ཀྱང་བརླག་ཡོད་མ་རེད་ད། བ་ཕྱུགས་འདྲ་བོ་ད། ཨ་ནས་ཁོང་ཚོ་ཡོད་བ། ཤེལ་མཏོག་ཨེ་འདྲའི་འདྲ་བོ་དང་། ཨེ་འདྲའི་འདྲ་བོ་བཙོན་གི་ཡོད་རེད་ད། ཨེ་ནས། ཁོང་ཚོ་བཙོན་བཙོང
STT_CS-D-2012-P-D-B07-5-R-03_0110_986755_to_996287,བཙོང་བཙོང་བྱས་ནས་ཉིན་མ་གཅིག་ཁོང་ཚོ་ཡོད་བ། དུག་སློག་འཚོང་ཉན་ཞིག་ཆགས་རེད་ད་རཱ། དུག་སློག་འཚོང་མཁན་དེ་ཨ་ནས་མང་པོ་དཔེ་ཡོད་རེད་ད། དུག་སློག དུག་སློག་བཙོང་ཨེ་འདྲའི་བྱས་རེད་བ། ཨེ་ནས།  ,btsong btsong byas nas nyin ma gcig khong tsho yod ba/_dug slog 'tshong nyan zhig chags red da rA/_dug slog 'tshong mkhan de a nas mang po dpe yod red da/_dug slog_dug slog btsong e 'dra'i byas red ba/_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0110_986755_to_996287.wav,STT_CS,3,175,9.532,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0110_986755_to_996287.wav,བཙོང་བྱས་ནས་ཉི་མ་གཅིག་ཁོང་ཚོ་ཡོད་བ། དུག་སློག་བཙོང་མྱི་གཅིག་ཆགས་རེད་ད་རཱ། དུག་སློག་བཙོང་མྱན་དེ། ཨ་ནས་མང་པོ་དཔེ་ཡོད་རེད་ད། དུག་སློག དུག་སློག་བཙོང་ཨེ་འདྲའི་བྱས་ྱས། ཨ་ནས། ཨ་ནས
STT_CS-D-2012-P-D-B07-5-R-03_0031_270261_to_279779,འོ་ལབ་ཀི་རཱ། ཨེ་ནས་ཁོ་ཚོ་རྩེད་མོ་བརྩེས་རེད་ད་རཱ། ཨེ་ནས་བུ་དེ་ཚོ་ཡོད་བ་བུ་མོའིགསང་སྤྱོད་ལ་ཅིག་འཛུལ་རེད་ད་རཱ། ཨེ་ནས། བུ་ཚང་མ་ཡོད་བ། བུ་མོ་གསང་སྤྱོད་ལ་ཧང་སང་རེད་ད་རཱ། ཨེ་ནས་བུ་ ,'o lab ki rA/_e nas kho tsho rtsed mo brtses red da rA/_e nas bu de tsho yod ba bu mo'igasang spyod la cig 'dzul red da rA/_e nas/_bu tshang ma yod ba/_bu mo gsang spyod la hang sang red da rA/_e nas bu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0031_270261_to_279779.wav,STT_CS,3,174,9.518,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0031_270261_to_279779.wav,་་ནས་འོ་འ་ལབ་ཀི་རཱ། ཨེ་ནས་ཁོང་ཚོ་རྩེད་མོ་རྩེས་རེད་ད་རཱ། ཨེ་ནས་བུབུ་དེ་ཚོ་ཡོད་བ། བུ་མོ་གསང་སྤྱོད་ནང་གཅིག་འཛུལ་རེད་ད་རཱ། ཨེ་ནས་བུ་ཚང་མ་ཡོད་བ། བུ་མོའ་གསང་སྤྱོད་ལ་ཧང་སང་རེད་ད་རཱ། ནབ
STT_CS-D-2012-P-D-B07-5-R-03_0032_279779_to_289296,བུ་མོ་བུ་མོ་བུ་ཚང་མ་བུ་མོ་གསང་སྤྱོད་ནང་འཛུལ་རེད་རཱ། པར་རྫུན་མ་སྒར་ནས། འོ་དེ། ཁོ་ཚོ་ཧང་སང་རེད་ད། ཨེ་ནས་ཁོ་ཚོ་ཕར་ལ་འཛུལ་རེད་ད་རཱ། ཨེ་ནས་ ,bu mo bu mo bu tshang ma bu mo gsang spyod nang 'dzul red rA/_par rdzun ma sgar nas/_'o de/_kho tsho hang sang red da/_e nas kho tsho phar la 'dzul red da rA/_e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0032_279779_to_289296.wav,STT_CS,3,135,9.517,wav16k/STT_CS-D-2012-P-D-B07-5-R-03_0032_279779_to_289296.wav,བུ་མོ། བུ་མོ། བུ་ཚང་མ་བུ་མོའི་གསང་སྤྱོད་ནང་འཛུལ་རེད། པར་རྫུན་མ་བཀར་ནས། འོ་དེ་ཁོང་ཚོ་ཧང་སང་བསྡད་རེད་ད་རཱ། འེ་ནས་ཁོང་ཚོ་ཡ་ཕར་ནང་འཛུལ་རེད་ད་རཱ། ཨེ་ནས།
